제품명,분류,핵심 성분,스펙·지속,특허출원번호,출처,상세폴더
GANA HA (Rainbow),"필러 (HA)","Cross-linked HA","가교율 10%, HA 20-24mg/cc, BDDE, 12-18개월, 입자 200-500µm, 27G",-,신제품2024,제품별_상세/GANA_HA_Rainbow
GANA HA-RED,"필러 (HA)","HA + Anthocyanins(앤토시아닌)","Red gel, 항산화",10-2024-0105118,신제품2024,제품별_상세/GANA_HA-RED
GANA HA-YELLOW,"필러 (HA)","HA + Gardenia(가드니아)","Yellow gel, 항산화·항염",10-2024-0105119,신제품2024,제품별_상세/GANA_HA-YELLOW
GANA HA-BLUE,"필러 (HA)","HA + Copper tripeptide-1(구리펩타이드)","Blue gel, 상처치유·혈관생성",10-2024-0105116,신제품2024,제품별_상세/GANA_HA-BLUE
GANA HA-GREEN,"필러 (HA)","HA + Chlorophyllin copper sodium salt(엽록소)","Green gel",10-2024-0105117,신제품2024,제품별_상세/GANA_HA-GREEN
GANA EYE BOOSTER,"스킨부스터","PDRN + Sodium DNA + Glutathione + cross-linked HA 5mg/cc","눈가·전안부 재생",-,신제품2024,제품별_상세/GANA_EYE_BOOSTER
GANA PHV,"필러 (PLLA+HA)","HA + Poly-L-Lactic Acid","2년+ 볼륨(HA) + 콜라겐 형성(PLLA), 히알루로니다제 교정 가능",10-2024-0105115,신제품2024,제품별_상세/GANA_PHV
GANA NPHG,"스킨부스터 (non-crosslinked HA)","NMN(Nicotinamide Mononucleotide) + Sodium DNA + Glutathione + HA","안티에이징·미백·보습",-,신제품2024,제품별_상세/GANA_NPHG
GANA EXO NPHG,"스킨부스터","Centella 엑소좀(EV) + NMN + Sodium DNA + Glutathione + HA","엑소좀·재생·진정",-,신제품2024,제품별_상세/GANA_EXO_NPHG
GANA Fish Collagen,"스킨부스터","Collagen(어류 콜라겐)","보습·탄력·주름 개선",-,신제품2024,제품별_상세/GANA_Fish_Collagen
GANA DMP+,"하이엔드 스킨부스터","PLLA 1mg/ml + HA 3mg/ml + Glutathione 0.5mg + PDRN 2mg/ml","3ml 프리필드, 6개월 지속, 즉시사용(믹싱 불필요), vs Juvelook·Rejuran 우위",-,DMP+2025,제품별_상세/GANA_DMP+
GANA TOX,"Meso / 외용 펩타이드(FDA)","Argireline 100ppm + Palmitoyl tetra/penta peptide + PDRN + Adenosine + Glutathione","5ml×10, 스프레이 도포 전용(주사X)","FDA VCRP 1007236 · CPNP 3028590",웹카탈로그2021,제품별_상세/GANA_TOX
GANA PNV,"Meso / 저농도 PDRN","PDRN 0.5% + Glutathione 2mg/cc + 가교HA 5mg/cc","3ml×5",CPNP 2829922,웹카탈로그2021,제품별_상세/GANA_PNV
GANA PNV+,"Meso / 고농도 PDRN","PDRN 2% + Glutathione 2mg/cc + 가교HA 10mg/cc","3ml×5, 리쥬란 대체",CPNP 3030186,웹카탈로그2021,제품별_상세/GANA_PNV+
GANA SCALP,"Meso / 두피·모발","PDRN + GHK-Cu(구리펩타이드)","3ml×10, 모발 전용(얼굴·목 금지)",CPNP 2829912,웹카탈로그2021,제품별_상세/GANA_SCALP
GANA EYE,"Meso / 눈밑","Carnitine 2% + Acetyl tetrapeptide-5 50ppm","2ml×5, 1박스 20세션+",CPNP 2829935,웹카탈로그2021,제품별_상세/GANA_EYE
GANA Cocktail,"Meso / 미백","Glutathione + Vitamin C (듀얼바이알)","4ml×5+5, 격주 교대(혼합금지)",-,웹카탈로그2021,제품별_상세/GANA_Cocktail
GANA DM,"Meso / PLLA 콜라겐(필러 아님)","동결건조 PLLA 50mg/5ml + 가교HA 5ml","2제 믹스, 콜라겐 5년+",CPNP 2829927,웹카탈로그2021,제품별_상세/GANA_DM
GANA V LINE,"Meso / 지방분해","PPC + Deoxycholic acid + AH8 + Glutathione","5ml×10, 전문가 전용",-,웹카탈로그2021,제품별_상세/GANA_V_LINE
GANA PHA,"Chemical Peel / PHA","Polyhydroxy acid 10% + Alpha arbutin 1%","40ml, 저자극(민감·아토피 가능)",-,웹카탈로그2021,제품별_상세/GANA_PHA
GANA GYNO,"Intimate Care","Glutathione + Soy Isoflavone + Lactic acid","50ml",-,웹카탈로그2021,제품별_상세/GANA_GYNO
GANA Booster,"Clinic Care / 바이오리바이탈","가교HA gel + Lidocaine","2.5ml 시린지",-,웹카탈로그2021,제품별_상세/GANA_Booster
GANA Booster V,"Clinic Care / 바이알","가교HA 10mg/cc + Glutathione 1mg/cc","3/5ml×2",-,웹카탈로그2021,제품별_상세/GANA_Booster_V
GANA HA V,"Clinic Care / 고농도 HA","가교HA 22mg/cc","3/5ml×2",-,웹카탈로그2021,제품별_상세/GANA_HA_V
GANA DA,"Clinic Care / 지방분해","Deoxycholic acid 10mg/cc","5ml×10, 얼굴 금지",CPNP 2829938,웹카탈로그2021,제품별_상세/GANA_DA
GANA Peptide APDN,"Peptide / 원료","Dipeptide Diaminobutyroyl Benzylamide(SYN-AKE) 500ppm","3ml×2, 근이완 항주름",-,웹카탈로그2021,제품별_상세/GANA_Peptide_APDN
